id	label	users	reach	tweets	impact
bone	bone	1	1	3	3
full	full	1	1	2	2
order	order	1	1	3	3
simultaneously	simultaneously	1	1	2	2
halted	halted	1	1	3	3
supporting	supporting	1	1	6	6
triple	triple	1	1	3	3
explore	explore	1	1	2	2
gas	gas	1	1	2	2
home	home	1	1	2	2
carry	carry	1	1	3	3
including	including	1	1	18	18
referred	referred	1	1	10	10
contexts	contexts	1	1	3	3
series	series	1	1	6	6
party	party	1	1	4	4
increases	increases	1	1	2	2
scale	scale	1	1	3	3
found	found	1	1	7	7
announced	announced	1	1	2	2
development	development	1	1	4	4
object	object	1	1	4	4
china	china	1	1	4	4
majority	majority	1	1	4	4
characteristics	characteristics	1	1	2	2
suggest	suggest	1	1	2	2
running	running	1	1	6	6
medium	medium	1	1	5	5
continued	continued	1	1	2	2
types	types	1	1	11	11
cities	cities	1	1	5	5
circulatory	circulatory	1	1	3	3
six	six	1	1	3	3
depression	depression	1	1	3	3
often	often	1	1	24	24
identity	identity	1	1	2	2
events	events	1	1	2	2
activities	activities	1	1	2	2
write	write	1	1	2	2
trouble	trouble	1	1	2	2
visited	visited	1	1	2	2
opera	opera	1	1	4	4
chips	chips	1	1	3	3
present	present	1	1	4	4
performance	performance	1	1	8	8
hormones	hormones	1	1	2	2
internal	internal	1	1	3	3
second	second	1	1	4	4
component	component	1	1	3	3
oral	oral	1	1	4	4
hit	hit	1	1	3	3
outcome	outcome	1	1	2	2
communicate	communicate	1	1	2	2
released	released	1	1	2	2
structure	structure	1	1	2	2
dram	dram	1	1	2	2
virtual	virtual	1	1	5	5
laid	laid	1	1	3	3
leadership	leadership	1	1	2	2
developing	developing	1	1	3	3
higher	higher	1	1	3	3
protein	protein	1	1	2	2
increased	increased	1	1	3	3
architecture	architecture	1	1	4	4
hernan	hernan	1	1	2	2
good	good	1	1	3	3
chip	chip	1	1	3	3
comes	comes	1	1	2	2
input	input	1	1	4	4
creation	creation	1	1	3	3
decisions	decisions	1	1	2	2
miserables	miserables	1	1	2	2
civil	civil	1	1	2	2
involved	involved	1	1	6	6
remain	remain	1	1	2	2
100	100	1	1	2	2
considered	considered	1	1	6	6
formal	formal	1	1	2	2
effect	effect	1	1	2	2
figures	figures	1	1	3	3
vitamin	vitamin	1	1	2	2
access	access	1	1	5	5
famous	famous	1	1	5	5
david	david	1	1	3	3
oxygen	oxygen	1	1	2	2
critical	critical	1	1	3	3
distinguishes	distinguishes	1	1	2	2
components	components	1	1	2	2
several	several	1	1	5	5
cardiovascular	cardiovascular	1	1	2	2
affected	affected	1	1	3	3
land	land	1	1	3	3
software	software	1	1	3	3
contrast	contrast	1	1	2	2
inside	inside	1	1	4	4
aesthetic	aesthetic	1	1	2	2
amateur	amateur	1	1	2	2
composed	composed	1	1	2	2
tributary	tributary	1	1	2	2
berlin	berlin	1	1	2	2
destroyed	destroyed	1	1	2	2
diplomatic	diplomatic	1	1	2	2
fight	fight	1	1	2	2
distinguish	distinguish	1	1	2	2
painting	painting	1	1	4	4
platforms	platforms	1	1	2	2
across	across	1	1	2	2
using	using	1	1	8	8
separate	separate	1	1	2	2
productions	productions	1	1	3	3
produce	produce	1	1	4	4
stress	stress	1	1	2	2
traditionally	traditionally	1	1	3	3
basis	basis	1	1	2	2
temporary	temporary	1	1	2	2
nahua	nahua	1	1	2	2
sub	sub	1	1	2	2
method	method	1	1	3	3
causing	causing	1	1	2	2
florence	florence	1	1	2	2
occur	occur	1	1	5	5
protocol	protocol	1	1	4	4
dominate	dominate	1	1	2	2
swallowing	swallowing	1	1	2	2
term	term	1	1	11	11
pacific	pacific	1	1	2	2
immune	immune	1	1	6	6
security	security	1	1	4	4
essential	essential	1	1	2	2
woodrow	woodrow	1	1	2	2
contents	contents	1	1	2	2
1930s	1930s	1	1	2	2
won	won	1	1	3	3
red	red	1	1	2	2
regions	regions	1	1	3	3
score	score	1	1	3	3
expressed	expressed	1	1	2	2
data	data	1	1	9	9
develop	develop	1	1	5	5
destruction	destruction	1	1	2	2
numbers	numbers	1	1	3	3
columbian	columbian	1	1	3	3
removed	removed	1	1	4	4
among	among	1	1	6	6
photographic	photographic	1	1	2	2
languages	languages	1	1	6	6
fast	fast	1	1	3	3
connective	connective	1	1	2	2
core	core	1	1	2	2
war	war	1	1	10	10
additional	additional	1	1	5	5
dynamic	dynamic	1	1	2	2
others	others	1	1	8	8
type	type	1	1	9	9
beginning	beginning	1	1	4	4
result	result	1	1	8	8
embedded	embedded	1	1	3	3
applications	applications	1	1	7	7
soviet	soviet	1	1	3	3
evolved	evolved	1	1	2	2
beyond	beyond	1	1	4	4
2015	2015	1	1	3	3
hard	hard	1	1	4	4
purposes	purposes	1	1	2	2
music	music	1	1	7	7
necessarily	necessarily	1	1	2	2
contained	contained	1	1	2	2
intel	intel	1	1	2	2
infections	infections	1	1	3	3
status	status	1	1	2	2
conference	conference	1	1	3	3
prolonged	prolonged	1	1	2	2
pay	pay	1	1	2	2
superpowers	superpowers	1	1	2	2
1980s	1980s	1	1	2	2
fall	fall	1	1	3	3
even	even	1	1	6	6
rather	rather	1	1	2	2
themes	themes	1	1	3	3
spoken	spoken	1	1	2	2
resulted	resulted	1	1	3	3
come	come	1	1	2	2
deepest	deepest	1	1	2	2
new	new	1	1	15	15
suffered	suffered	1	1	2	2
battle	battle	1	1	2	2
now	now	1	1	4	4
leader	leader	1	1	3	3
body	body	1	1	12	12
image	image	1	1	2	2
effort	effort	1	1	2	2
molecules	molecules	1	1	3	3
wicked	wicked	1	1	3	3
1985	1985	1	1	2	2
upon	upon	1	1	2	2
hair	hair	1	1	3	3
psychiatric	psychiatric	1	1	2	2
range	range	1	1	2	2
costumes	costumes	1	1	3	3
network	network	1	1	7	7
cortes	cortes	1	1	2	2
terms	terms	1	1	4	4
ram	ram	1	1	3	3
literature	literature	1	1	3	3
18th	18th	1	1	4	4
former	former	1	1	3	3
peace	peace	1	1	3	3
processors	processors	1	1	2	2
gain	gain	1	1	2	2
mexica	mexica	1	1	2	2
recent	recent	1	1	3	3
agreed	agreed	1	1	3	3
nationalism	nationalism	1	1	2	2
invasion	invasion	1	1	3	3
help	help	1	1	3	3
took	took	1	1	2	2
politics	politics	1	1	3	3
women	women	1	1	3	3
protect	protect	1	1	2	2
concentrated	concentrated	1	1	2	2
comedy	comedy	1	1	3	3
breathing	breathing	1	1	2	2
specifically	specifically	1	1	2	2
negative	negative	1	1	2	2
computers	computers	1	1	3	3
surface	surface	1	1	4	4
will	will	1	1	3	3
especially	especially	1	1	9	9
almost	almost	1	1	7	7
commonly	commonly	1	1	5	5
attrition	attrition	1	1	2	2
specifications	specifications	1	1	2	2
past	past	1	1	2	2
scenes	scenes	1	1	3	3
wars	wars	1	1	3	3
either	either	1	1	8	8
moving	moving	1	1	2	2
whose	whose	1	1	2	2
medicine	medicine	1	1	2	2
average	average	1	1	3	3
better	better	1	1	4	4
center	center	1	1	3	3
king	king	1	1	2	2
short	short	1	1	2	2
cache	cache	1	1	2	2
challenge	challenge	1	1	2	2
random	random	1	1	2	2
lost	lost	1	1	5	5
reminiscent	reminiscent	1	1	2	2
paint	paint	1	1	3	3
broadway	broadway	1	1	6	6
religion	religion	1	1	2	2
government	government	1	1	2	2
white	white	1	1	7	7
contains	contains	1	1	5	5
europe	europe	1	1	9	9
aztec	aztec	1	1	3	3
disorders	disorders	1	1	2	2
compared	compared	1	1	3	3
available	available	1	1	6	6
dating	dating	1	1	2	2
remained	remained	1	1	2	2
armistice	armistice	1	1	2	2
making	making	1	1	5	5
multi	multi	1	1	4	4
viruses	viruses	1	1	2	2
particular	particular	1	1	10	10
criticism	criticism	1	1	3	3
rise	rise	1	1	5	5
arm	arm	1	1	2	2
civilians	civilians	1	1	3	3
describing	describing	1	1	2	2
established	established	1	1	5	5
normally	normally	1	1	5	5
north	north	1	1	4	4
encryption	encryption	1	1	3	3
character	character	1	1	4	4
cinema	cinema	1	1	2	2
styles	styles	1	1	3	3
rule	rule	1	1	2	2
scholars	scholars	1	1	3	3
portion	portion	1	1	2	2
secret	secret	1	1	2	2
rome	rome	1	1	2	2
since	since	1	1	15	15
today	today	1	1	3	3
visible	visible	1	1	3	3
contemporary	contemporary	1	1	3	3
current	current	1	1	2	2
invertebrates	invertebrates	1	1	2	2
phantom	phantom	1	1	2	2
organ	organ	1	1	2	2
best	best	1	1	4	4
lot	lot	1	1	2	2
continues	continues	1	1	2	2
wide	wide	1	1	4	4
proved	proved	1	1	2	2
minutes	minutes	1	1	2	2
state	state	1	1	8	8
get	get	1	1	2	2
libretto	libretto	1	1	2	2
neutral	neutral	1	1	3	3
animals	animals	1	1	4	4
possess	possess	1	1	2	2
replaced	replaced	1	1	2	2
paper	paper	1	1	5	5
previous	previous	1	1	3	3
secure	secure	1	1	3	3
end	end	1	1	11	11
1918	1918	1	1	3	3
minimum	minimum	1	1	2	2
establishment	establishment	1	1	2	2
revolution	revolution	1	1	2	2
1927	1927	1	1	2	2
symptoms	symptoms	1	1	4	4
historians	historians	1	1	2	2
metal	metal	1	1	3	3
addition	addition	1	1	6	6
monckton	monckton	1	1	2	2
commonwealth	commonwealth	1	1	2	2
certain	certain	1	1	5	5
examples	examples	1	1	2	2
latter	latter	1	1	2	2
humans	humans	1	1	3	3
corporation	corporation	1	1	2	2
civilization	civilization	1	1	5	5
employing	employing	1	1	2	2
rest	rest	1	1	4	4
foundations	foundations	1	1	2	2
edwardian	edwardian	1	1	2	2
main	main	1	1	7	7
1990	1990	1	1	4	4
technical	technical	1	1	2	2
struggle	struggle	1	1	2	2
three	three	1	1	12	12
diagnostic	diagnostic	1	1	2	2
management	management	1	1	2	2
quickly	quickly	1	1	4	4
throughout	throughout	1	1	3	3
went	went	1	1	3	3
rose	rose	1	1	2	2
lymphatic	lymphatic	1	1	2	2
self	self	1	1	3	3
dioxide	dioxide	1	1	2	2
big	big	1	1	3	3
refused	refused	1	1	2	2
compiler	compiler	1	1	2	2
ventilation	ventilation	1	1	2	2
agreement	agreement	1	1	2	2
immediate	immediate	1	1	2	2
capacity	capacity	1	1	2	2
cure	cure	1	1	2	2
nations	nations	1	1	5	5
fiction	fiction	1	1	3	3
accounts	accounts	1	1	4	4
apart	apart	1	1	2	2
roman	roman	1	1	2	2
integrity	integrity	1	1	2	2
centered	centered	1	1	3	3
